Flag	Count	Types	Levels	Archs	Projs	Versions
-finline-hint-functions	36	cjump	O1|O2|O3|Ofast|Os|Oz	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
-ftree-vectorize	36	cjump	O1	AArch64|X8664	pqclean	14|18|20
-fvectorize	36	cjump	O1	AArch64|X8664	pqclean	14|18|20
--enable-vplan-native-path	33	cjump	O2|O3|Os	AArch64|X8664	bearssl|pqclean	18
--disable-preheader-prot	30	cjump	O2|O3|Ofast|Os	RISCV	bearssl|pqclean	14
--mips-mixed-16-32	30	cjump	Os	MIPS32EL|MIPS64	pqclean	18|20
--unroll-threshold-aggressive=0	28	cjump	O3|Ofast	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--disable-lsr	28	cjump	O2|O3|Ofast|Os	AArch64|RISCV	bearssl|pqclean	14|18
--scalar-evolution-max-arith-depth=0	28	cjump	O3|Ofast|Os	AArch64|RISCV|X8664	bearssl|mbedtls|pqclean	18|20
--enable-load-in-loop-pre=false	27	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|pqclean	14
--enable-load-pre=false	27	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|pqclean	14
--enable-pre=false	27	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|pqclean	14
--enable-split-backedge-in-load-pre=false	27	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|pqclean	14
--memssa-check-limit=0	27	cjump	O1|O2|O3|Os|Oz	AArch64|RISCV|X8664	mbedtls|pqclean	14|18|20
--vectorizer-min-trip-count=100	27	cjump	O2|O3|Ofast	AArch64|X8664	bearssl|pqclean	14|18|20
--hot-callsite-rel-freq=0	25	cjump	O3	AArch64|ARM|MIPS32EL|MIPS64|RISCV|X8664	mbedtls|pqclean	14|20
--gvn-max-block-speculations=0	24	cjump	O2|O3|Ofast|Os	RISCV	bearssl	14
--rotation-max-header-size=100	24	cjump	O2|O3|Ofast|Os	RISCV	bearssl	14
--rotation-max-header-size=50	24	cjump	O2|O3|Ofast|Os	RISCV	bearssl	14
--inline-threshold=50	23	cjump	O1|O2|O3|Oz	RISCV	bearssl|mbedtls|pqclean	14|18|20
-fno-tree-vectorize	23	cjump	O2|O3|Os	AArch64|X8664	pqclean	14|18|20
-fno-vectorize	23	cjump	O2|O3|Os	AArch64|X8664	pqclean	14|18|20
--unroll-threshold-aggressive=50	21	cjump	O3|Ofast	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--unswitch-threshold=-1	21	cjump	O3|Ofast	AArch64|MIPS64|RISCV	bearssl	14|18
--unroll-allow-partial	20	cjump	O2|O3|Ofast	AArch64|RISCV	bearssl|pqclean	14|18|20
--unroll-optsize-threshold=100	20	cjump	Os|Oz	RISCV	bearssl|pqclean	14|20
--enable-gvn-sink	20	cjump	O2|O3|Ofast|Os|Oz	RISCV	bearssl|mbedtls	14
-funroll-loops	18	cjump	O1	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--unswitch-threshold=0	17	cjump	O3|Ofast	RISCV|X8664	bearssl|pqclean	14|18|20
--licm-mssa-optimization-cap=0	17	cjump	O2|O3|Os	AArch64|X8664	mbedtls|pqclean	14|18|20
--cold-callsite-rel-freq=-1	17	cjump	O1|O2|O3	AArch64|RISCV	mbedtls	14|18|20
--cold-callsite-rel-freq=100	17	cjump	O1|O2|O3	AArch64|RISCV	mbedtls	14|18|20
--cold-callsite-rel-freq=50	17	cjump	O1|O2|O3	AArch64|RISCV	mbedtls	14|18|20
--inline-threshold=-1	17	cjump	O1|O2|O3|Os	RISCV|X8664	bearssl|mbedtls	14|18|20
--inline-threshold=0	17	cjump	O1|O2|O3|Os	RISCV|X8664	bearssl|mbedtls	14|18|20
-fshort-enums	17	cjump	O1|O2|O3|Os|Oz	RISCV	mbedtls	14|18
--unroll-partial-threshold=100	16	cjump	O2|O3|Ofast|Os|Oz	X8664	bearssl	14|18|20
--attributor-enable=cgscc	16	cjump	O2|O3|Ofast|Os|Oz	RISCV	bearssl	14
--inline-call-penalty=-1	15	cjump	O3|Ofast|Oz	AArch64|RISCV|X8664	bearssl|pqclean	14|20
--unroll-threshold-aggressive=100	15	cjump	O3|Ofast	X8664	bearssl|pqclean	14|18|20
--unroll-threshold-default=0	15	cjump	O2	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--inline-call-penalty=100	14	cjump	Oz	RISCV	bearssl|mbedtls|pqclean	14
--inline-threshold=100	14	cjump	O1|Oz	RISCV	bearssl|mbedtls|pqclean	14
--inline-instr-cost=50	13	cjump	O2|O3|Ofast|Os	AArch64|RISCV|X8664	bearssl|mbedtls	18|20
--jump-threading-across-loop-headers	12	cjump	O2|O3|Os|Oz	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--slp-min-tree-size=100	12	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--slp-min-tree-size=50	12	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--slp-recursion-max-depth=0	12	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--slp-threshold=100	12	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--slp-threshold=50	12	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--inline-instr-cost=100	12	cjump	O2|O3|Ofast|Os	AArch64|RISCV|X8664	bearssl|mbedtls	18|20
--enable-coldcc-stress-test	12	cjump	O1|O2|O3|Ofast|Os|Oz	MIPS64|X8664	bearssl	18|20
--inline-instr-cost=-1	12	cjump	O2|O3|Ofast	AArch64|RISCV|X8664	bearssl|mbedtls|pqclean	18|20
--jump-threading-phi-threshold=0	12	cjump	O2|O3	RISCV	mbedtls	18|20
--pre-RA-sched=list-burr	11	cjump	O2|O3|Ofast|Oz	RISCV|X8664	bearssl|pqclean	14|20
--pre-RA-sched=list-hybrid	11	cjump	O2|O3|Ofast|Oz	RISCV|X8664	bearssl|pqclean	14|20
--vplan-build-stress-test	11	cjump	O2|O3|Os	X8664	pqclean	14|18|20
--attributor-enable=all	10	cjump	O2|O3|Os|Oz	RISCV	bearssl|mbedtls	14|18|20
--attributor-enable=module	10	cjump	O2|O3|Os|Oz	RISCV	bearssl|mbedtls	14|18|20
-fno-slp-vectorize	10	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
-fno-tree-slp-vectorize	10	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--inlinedefault-threshold=-1	10	cjump	O1|O2	RISCV|X8664	bearssl|mbedtls	14|18|20
--inlinedefault-threshold=0	10	cjump	O1|O2	RISCV|X8664	bearssl|mbedtls	14|18|20
--inline-call-penalty=0	9	cjump	Oz	RISCV	bearssl|pqclean	14
--unroll-optsize-threshold=50	9	cjump	Os|Oz	RISCV	pqclean	14
--unswitch-num-initial-unscaled-candidates=-1	9	cjump	O3|Ofast	RISCV	bearssl|pqclean	14|18|20
--disable-ifcvt-triangle-false	9	cjump	O1|Os|Oz	ARM	pqclean	14
--ifcvt-fn-start=0	9	cjump	O1|Os|Oz	ARM	pqclean	14
--ifcvt-fn-start=100	9	cjump	O1|Os|Oz	ARM	pqclean	14
--ifcvt-fn-start=50	9	cjump	O1|Os|Oz	ARM	pqclean	14
--ifcvt-limit=0	9	cjump	O1|Os|Oz	ARM	pqclean	14
--enable-knowledge-retention	9	cjump	O1|O2|O3|Ofast|Os|Oz	RISCV	bearssl|mbedtls	14|18|20
--unroll-threshold-default=50	9	cjump	O2	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--bonus-inst-threshold=100	9	cjump	O1|O2|O3	RISCV	mbedtls	14
--bonus-inst-threshold=50	9	cjump	O1|O2|O3	RISCV	mbedtls	14
--inlinedefault-threshold=50	9	cjump	O1|O2	RISCV	mbedtls	14|18|20
--inline-call-penalty=50	8	cjump	Oz	RISCV	bearssl|mbedtls|pqclean	14
--slp-schedule-budget=-1	8	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--slp-schedule-budget=0	8	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--hoist-common-insts	8	cjump	O1|O2|O3|Os|Oz	RISCV	mbedtls	14|18|20
--bonus-inst-threshold=0	8	cjump	O3|Ofast	AArch64|MIPS64|RISCV|X8664	bearssl	18
--simplifycfg-branch-fold-common-dest-vector-multiplier=0	8	cjump	O3|Ofast	AArch64|MIPS64|RISCV|X8664	bearssl	18
--simplifycfg-branch-fold-threshold=0	8	cjump	O3|Ofast	AArch64|MIPS64|RISCV|X8664	bearssl	18
--inline-memaccess-cost=100	8	cjump	O2|O3|Os	RISCV|X8664	bearssl|mbedtls	18|20
--inline-memaccess-cost=50	8	cjump	O2|O3|Os	RISCV|X8664	bearssl|mbedtls	18|20
--lsr-complexity-limit=50	7	cjump	O2|O3	AArch64|RISCV	mbedtls|pqclean	18|20
--pre-RA-sched=fast	6	cjump	O1|O3|Oz	RISCV|X8664	mbedtls|pqclean	14
--pre-RA-sched=linearize	6	cjump	O1|O3|Oz	RISCV|X8664	mbedtls|pqclean	14
-fno-delete-null-pointer-checks	6	cjump	O1|O3|Ofast	RISCV	bearssl	14
--disable-licm-promotion	6	cjump	O2|O3	X8664	pqclean	14|18|20
--licm-mssa-max-acc-promotion=0	6	cjump	O2|O3	X8664	pqclean	14|18|20
--disable-lftr	6	cjump	O3	AArch64|RISCV	pqclean	18|20
--alias-set-saturation-threshold=0	6	cjump	O2	X8664	pqclean	18|20
--pre-RA-sched=list-ilp	6	cjump	O2|O3|Ofast	X8664	bearssl	20
--two-entry-phi-node-folding-threshold=100	5	cjump	O1|O2|O3|Ofast|Os	RISCV	bearssl	14
--two-entry-phi-node-folding-threshold=50	5	cjump	O1|O2|O3|Ofast|Os	RISCV	bearssl	14
--runtime-memory-check-threshold=100	5	cjump	O2|O3	AArch64	pqclean	14
--runtime-memory-check-threshold=50	5	cjump	O2|O3	AArch64	pqclean	14
--slp-schedule-budget=50	5	cjump	O2|O3	X8664	pqclean	14
--sink-common-insts	5	cjump	O1|O2|O3|Os|Oz	RISCV	mbedtls	14
--enable-misched=false	4	cjump	O1|O2|O3	RISCV	mbedtls	14|18|20
--misched=ilpmin	4	cjump	O1|O2|O3	RISCV	mbedtls	14|18|20
--select-opti-loop-relative-gain-threshold=100	4	cjump	O3|Ofast	AArch64	bearssl	18
--select-opti-loop-relative-gain-threshold=50	4	cjump	O3|Ofast	AArch64	bearssl	18
--unroll-partial-threshold=50	4	cjump	Os|Oz	X8664	bearssl	18|20
--unswitch-num-initial-unscaled-candidates=0	4	cjump	O3|Ofast	RISCV	bearssl	18|20
--aarch64-enable-global-isel-at-O=100	4	cjump	O3	AArch64	pqclean	18
--aarch64-enable-global-isel-at-O=50	4	cjump	O3	AArch64	pqclean	18
--aarch64-stress-promote-const	4	cjump	O3	AArch64	pqclean	18
--disable-early-ifcvt	4	cjump	O3	AArch64	pqclean	18
--early-ifcvt-limit=0	4	cjump	O3	AArch64	pqclean	18
--force-streaming-compatible-sve	4	cjump	O3	AArch64	pqclean	18
--lsr-complexity-limit=100	4	cjump	O3	AArch64	pqclean	18
--lsr-insns-cost	4	cjump	O3	AArch64	pqclean	18
--lsr-preferred-addressing-mode=preindexed	4	cjump	O3	AArch64	pqclean	18
--vectorize-memory-check-threshold=0	4	cjump	O3	AArch64	pqclean	18
--prefer-inloop-reductions	4	cjump	Os	X8664	pqclean	18|20
--enable-split-backedge-in-load-pre	4	cjump	Os	X8664	pqclean	20
--enable-npm-O3-nontrivial-unswitch=false	3	cjump	O3	RISCV	pqclean	14
--vectorizer-min-trip-count=50	3	cjump	O2|O3	X8664	pqclean	14|18
--unroll-threshold-default=100	3	cjump	O2	X8664	bearssl|pqclean	14|18|20
--unroll-max-iteration-count-to-analyze=0	3	cjump	Os	X8664	pqclean	14
--unroll-max-percent-threshold-boost=0	3	cjump	Os	X8664	pqclean	14
--unroll-max-percent-threshold-boost=50	3	cjump	Os	X8664	pqclean	14
--slp-max-reg-size=0	3	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--slp-max-reg-size=50	3	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--slp-min-reg-size=-1	3	cjump	O2|O3	X8664	bearssl|pqclean	14|18|20
--unroll-max-iteration-count-to-analyze=100	2	cjump	O2	RISCV	pqclean	14
--unroll-max-iteration-count-to-analyze=50	2	cjump	O2	RISCV	pqclean	14
--machine-sink-split-probability-threshold=100	2	cjump	O1|Oz	RISCV	mbedtls	14
--vectorize-num-stores-pred=100	2	cjump	Os	AArch64	mbedtls	18|20
--vectorize-num-stores-pred=50	2	cjump	Os	AArch64	mbedtls	18|20
--lv-strided-pointer-ivs	2	cjump	O3	AArch64	pqclean	18|20
--scev-addops-inline-threshold=0	2	cjump	O2|O3	RISCV	mbedtls	18
--funcspec-min-function-size=0	2	cjump	O3	AArch64|X8664	pqclean	20
--funcspec-min-function-size=100	2	cjump	O3	AArch64|X8664	pqclean	20
--funcspec-min-function-size=50	2	cjump	O3	AArch64|X8664	pqclean	20
--slp-schedule-budget=100	1	cjump	O2	X8664	pqclean	14
--slp-max-reg-size=100	1	cjump	O3	X8664	pqclean	14
--slp-max-store-lookup=-1	1	cjump	O3	X8664	pqclean	14
--slp-max-store-lookup=0	1	cjump	O3	X8664	pqclean	14
--cold-callsite-rel-freq=0	1	cjump	O1	RISCV	mbedtls	14
--inlinedefault-threshold=100	1	cjump	O1	RISCV	mbedtls	14
--enable-tail-merge=false	1	cjump	O1	RISCV	mbedtls	14
--machine-sink-split-probability-threshold=50	1	cjump	O1	RISCV	mbedtls	14
--tail-merge-size=100	1	cjump	O1	RISCV	mbedtls	14
--tail-merge-size=50	1	cjump	O1	RISCV	mbedtls	14
--tail-merge-threshold=0	1	cjump	O1	RISCV	mbedtls	14
--disable-copyprop	1	cjump	Oz	RISCV	mbedtls	14
--disable-postra-machine-sink	1	cjump	Oz	RISCV	mbedtls	14
--machine-sink-split-probability-threshold=0	1	cjump	Oz	RISCV	mbedtls	14
--regalloc=fast	1	cjump	Oz	RISCV	mbedtls	14
--inline-max-stacksize=0	1	cjump	O3	AArch64	mbedtls	18
--inline-max-stacksize=50	1	cjump	O3	AArch64	mbedtls	18
-finline-max-stacksize=0	1	cjump	O3	AArch64	mbedtls	18
-finline-max-stacksize=50	1	cjump	O3	AArch64	mbedtls	18
--force-tail-folding-style=none	1	cjump	Os	X8664	bearssl	18
--slp-min-reg-size=0	1	cjump	Oz	X8664	bearssl	18
--slp-min-reg-size=50	1	cjump	Oz	X8664	bearssl	18
--enable-matrix	1	cjump	Oz	RISCV	bearssl	20
--extra-vectorizer-passes	1	cjump	Oz	RISCV	bearssl	20
-fenable-matrix	1	cjump	Oz	RISCV	bearssl	20
--inline-max-stacksize=100	1	cjump	Oz	ARM	mbedtls	20
-finline-max-stacksize=100	1	cjump	Oz	ARM	mbedtls	20
--partial-unrolling-threshold=0	1	cjump	O2	X8664	pqclean	20
--unroll-max-count=0	1	cjump	O2	X8664	pqclean	20
--unroll-partial-threshold=0	1	cjump	O2	X8664	pqclean	20
--grow-region-complexity-budget=0	1	cjump	O2	RISCV	mbedtls	20
--regalloc=basic	1	cjump	O2	RISCV	mbedtls	20
--regalloc=pbqp	1	cjump	O2	RISCV	mbedtls	20
