function	file	line	col	source	char	type	optimization
br_ccm_reset	src/aead/ccm.c	77	3	  | (((unsigned)tag_len - 2) << 2)	|	cjump	O0|O1|O2|O3|Ofast|Os|Oz
parse_size	tools/names.c	813	27	  if (z < (size_t)d || (z / (size_t)radix) != acc	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
print_ta	tools/ta.c	124	22	 printf("\t\t%s,\n", (ta->flags & BR_X509_TA_CA)	(	cjump	O0|O3|Ofast
br_x509_minimal_run	src/x509/x509_minimal.c	1019	2	 T0_PUSHi(a / b);	T	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
br_x509_decoder_run	src/x509/x509_decoder.c	520	2	 T0_PUSHi(a / b);	T	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
mkprime	src/rsa/rsa_i31_keygen_inner.c	325	7	  m11 -= 44 & -GT(m11, 43);	-	cjump	O1|Oz
br_aes_big_keysched_inv	src/symcipher/aes_big_dec.c	105	11	 return x ^ ((unsigned)(-(int)(x >> 8)) & 0x11B);	^	cjump	O1|O2|O3|Ofast|Os
api_mul	src/ec/ec_c25519_m64.c	522	28	 z = (unsigned __int128)t0 + (19 & -(t3 >> 63));	+	cjump	O1|O2|O3|Ofast|Os|Oz
br_i31_decode_mod	src/int/i31_decmod.c	772	11	 return y ^ (-ctl & (x ^ y));	^	cjump	O1|O2|O3|Ofast|Os|Oz
br_aes_ct_ctrcbc_decrypt	src/symcipher/aes_ct_ctrcbc.c	363	9	  carry &= -(~(iv2 | -iv2) >> 31);	&	cjump	O1|O2|O3|Ofast|Os|Oz
mkprime	src/rsa/rsa_i31_keygen_inner.c	313	6	  m5 -= 5 & -GT(m5, 4);	-	cjump	O1|Oz
br_aes_ct64_ctrcbc_decrypt	src/symcipher/aes_ct64_ctrcbc.c	370	9	  carry &= -(~(iv2 | -iv2) >> 31);	&	cjump	O1|O2|O3|Ofast|Os|Oz
br_aes_ct_ctrcbc_ctr	src/symcipher/aes_ct_ctrcbc.c	91	7	  iv0 += carry;	+	cjump	O1|O2|O3|Ofast|Os|Oz
cbc_decrypt	src/ssl/ssl_rec_cbc.c	169	11	  tmp1[v] |= MUX(GE(u, len_nomac) & LT(u, len_withmac),	|	cjump	O1|O2|O3|Ofast|Os|Oz
br_i31_modpow_opt	src/int/i31_modpow2.c	141	12	     t2[v] |= mask & base[v];	|	cjump	O1|O2|O3|Ofast|Os|Oz
br_aes_ct_ctrcbc_decrypt	src/symcipher/aes_ct_ctrcbc.c	365	9	  carry &= -(~(iv1 | -iv1) >> 31);	&	cjump	O1|Os
br_i15_decode_mod	src/int/i15_decmod.c	772	11	 return y ^ (-ctl & (x ^ y));	^	cjump	O1|O2|O3|Ofast|Os|Oz
mkprime	src/rsa/rsa_i15_keygen.c	302	7	  m11 -= 88 & -GT(m11, 87);	-	cjump	O1|O2|O3|Ofast|Os|Oz
