function	file	line	col	source	char	type	optimization
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	50	32	        *p = (uint32_t)(maxrp) / *r;	/	mdiv	O1--cold-callsite-rel-freq=-1|O1--cold-callsite-rel-freq=100|O1--cold-callsite-rel-freq=50|O1--inlinedefault-threshold=50|O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--inlinedefault-threshold=50|O2--unroll-max-iteration-count-to-analyze=100
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	31	25	        maxN = opslimit / (*r * 4);	/	mdiv	O1--cold-callsite-rel-freq=-1|O1--cold-callsite-rel-freq=100|O1--cold-callsite-rel-freq=50|O1--inlinedefault-threshold=50|O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--inlinedefault-threshold=50|O2--unroll-max-iteration-count-to-analyze=100
sodium_bin2hex	sodium/codecs.c	34	10	        i++;	+	cjump	O1-ftree-vectorize|O1-fvectorize
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	31	25	        maxN = opslimit / (*r * 4);	/	cjump	O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--inlinedefault-threshold=50|O2--unroll-max-iteration-count-to-analyze=100
